file,na,r,mpif,model,na,sol,z,bestlp,root,cuts,cuts,cuts,cuts,nodecount,time,status,gap,n_clients
GRID_MCLP_n100_m1000_d1_100_f1_1_s1.dat, NA ,3.4, MPIF ,NW, nobenders ,401206.9859,401206.9859,401206.9859,-9.25596E+61,19,0,0,0,0,0.599,lpstatus: 101,0,1000
GRID_MCLP_n100_m1000_d1_100_f1_1_s5.dat, NA ,3.4, MPIF ,NW, nobenders ,792613.5389,792613.5389,792613.5389,-9.25596E+61,8,0,0,0,0,0.353,lpstatus: 101,0,1000
GRID_MCLP_n100_m5000_d1_100_f1_1_s1.dat, NA ,3.4, MPIF ,NW, nobenders ,2007581.847,2007581.847,2007581.847,-9.25596E+61,19,0,0,0,0,10.779,lpstatus: 101,0,5000
GRID_MCLP_n100_m5000_d1_100_f1_1_s5.dat, NA ,3.4, MPIF ,NW, nobenders ,3831869.881,3831869.881,3831869.881,-9.25596E+61,8,0,0,0,0,6.255,lpstatus: 101,0,5000
GRID_MCLP_n100_m10000_d1_100_f1_1_s1.dat, NA ,3.4, MPIF ,NW, nobenders ,4062194.872,4062194.872,4062194.872,-9.25596E+61,19,0,0,0,0,31.891,lpstatus: 101,0,10000
GRID_MCLP_n100_m10000_d1_100_f1_1_s5.dat, NA ,3.4, MPIF ,NW, nobenders ,7715671.15,7715671.15,7715671.15,-9.25596E+61,8,0,0,0,0,20.213,lpstatus: 101,0,10000
GRID_MCLP_n100_m50000_d1_100_f1_1_s1.dat, NA ,3.4, MPIF ,NW, nobenders ,20372207.09,20372207.09,20372207.09,-9.25596E+61,19,0,0,0,0,339.515,lpstatus: 101,0,50000
GRID_MCLP_n100_m50000_d1_100_f1_1_s5.dat, NA ,3.4, MPIF ,NW, nobenders ,38915925.98,38915925.98,38915925.98,-9.25596E+61,8,0,0,0,0,270.006,lpstatus: 101,0,50000
GRID_MCLP_n100_m100000_d1_100_f1_1_s1.dat, NA ,3.4, MPIF ,NW, nobenders ,40747414.88,40747414.88,40747414.88,-9.25596E+61,19,0,0,0,0,764.373,lpstatus: 101,0,100000
GRID_MCLP_n100_m100000_d1_100_f1_1_s5.dat, NA ,3.4, MPIF ,NW, nobenders ,78205936.64,78205936.64,78205936.64,-9.25596E+61,8,0,0,0,0,604.81,lpstatus: 101,0,100000
GRID_MCLP_n100_m1000_d1_100_f1_1_s1.dat, NA ,5.5, MPIF ,SW, nobenders ,143554.4316,143554.4316,131056.027,0,0,0,0,0,22460,3599.870407,lpstatus: 107,0.087063872,1000
GRID_MCLP_n100_m1000_d1_100_f1_1_s5.dat, NA ,5.5, MPIF ,SW, nobenders ,161670.7463,161670.7463,144472.7806,0,0,0,0,0,18771,3599.865742,lpstatus: 107,0.106376485,1000
GRID_MCLP_n100_m5000_d1_100_f1_1_s1.dat, NA ,5.5, MPIF ,SW, nobenders ,3688710.229,3688710.229,675511.5895,0,0,0,0,0,79,3600.070639,lpstatus: 107,0.816870519,5000
